"12","2","40","nie_ma_w_domu","2017-09-13 10:44:40.0"
"48","10","246","niezainteresowany","2017-08-08 10:17:15.0"
"73","14","51","zainteresowany","2017-07-14 08:01:47.0"
"13","33","252","poczta_glosowa","2017-09-12 05:46:16.0"
"9","33","188","nie_ma_w_domu","2017-09-16 10:58:02.0"
"5","33","161","poczta_glosowa","2017-09-20 06:12:12.0"
"59","34","32","poczta_glosowa","2017-07-28 04:24:46.0"
"55","34","174","nie_ma_w_domu","2017-08-01 08:26:06.0"
"51","34","251","poczta_glosowa","2017-08-05 04:12:43.0"
"33","34","146","poczta_glosowa","2017-08-23 08:34:59.0"
"29","34","68","nie_ma_w_domu","2017-08-27 09:20:51.0"
"25","34","262","poczta_glosowa","2017-08-31 06:47:17.0"
"79","35","112","poczta_glosowa","2017-07-08 08:56:52.0"
"75","35","341","nie_ma_w_domu","2017-07-12 07:32:09.0"
"71","35","354","poczta_glosowa","2017-07-16 09:09:39.0"
"69","35","13","zainteresowany","2017-07-18 05:26:25.0"
"45","35","179","poczta_glosowa","2017-08-11 11:20:49.0"
"4","36","118","nie_ma_w_domu","2017-09-21 06:39:57.0"
"77","38","68","zainteresowany","2017-07-10 08:03:51.0"
"53","57","316","zainteresowany","2017-08-03 04:34:42.0"
"72","59","297","niezainteresowany","2017-07-15 06:31:52.0"
"46","60","224","niezainteresowany","2017-08-10 04:51:49.0"
"40","67","348","nie_ma_w_domu","2017-08-16 06:50:03.0"
"60","70","359","niezainteresowany","2017-07-27 06:29:02.0"
"86","71","133","nie_ma_w_domu","2017-07-01 08:24:00.0"
"2","72","10","niezainteresowany","2017-09-23 11:32:38.0"
"21","89","232","poczta_glosowa","2017-09-04 07:32:05.0"
"17","102","215","poczta_glosowa","2017-09-08 09:09:30.0"
"84","125","248","niezainteresowany","2017-07-03 07:28:10.0"
"8","128","52","nie_ma_w_domu","2017-09-17 08:20:13.0"
"18","140","196","niezainteresowany","2017-09-07 10:09:18.0"
"74","153","188","nie_ma_w_domu","2017-07-13 10:46:29.0"
"65","160","142","zainteresowany","2017-07-22 04:58:23.0"
"58","166","391","nie_ma_w_domu","2017-07-29 07:46:35.0"
"42","168","328","niezainteresowany","2017-08-14 07:00:22.0"
"1","181","107","poczta_glosowa","2017-09-24 05:38:31.0"
"82","184","368","nie_ma_w_domu","2017-07-05 04:36:07.0"
"81","184","175","zainteresowany","2017-07-06 03:55:08.0"
"62","184","187","nie_ma_w_domu","2017-07-25 11:34:21.0"
"61","184","55","zainteresowany","2017-07-26 05:27:56.0"
"36","184","384","nie_ma_w_domu","2017-08-20 11:28:45.0"
"35","184","158","zainteresowany","2017-08-21 10:44:10.0"
"16","184","124","nie_ma_w_domu","2017-09-09 07:45:56.0"
"15","184","289","zainteresowany","2017-09-10 08:08:01.0"
"31","192","293","zainteresowany","2017-08-25 04:01:12.0"
"85","203","95","zainteresowany","2017-07-02 05:31:40.0"
"64","204","134","niezainteresowany","2017-07-23 09:04:01.0"
"26","218","46","niezainteresowany","2017-08-30 04:09:02.0"
"56","219","288","niezainteresowany","2017-07-31 09:37:08.0"
"41","226","117","poczta_glosowa","2017-08-15 10:00:46.0"
"47","229","114","poczta_glosowa","2017-08-09 08:54:54.0"
"67","236","257","poczta_glosowa","2017-07-20 08:17:55.0"
"76","241","121","niezainteresowany","2017-07-11 04:12:43.0"
"6","244","13","niezainteresowany","2017-09-19 04:26:30.0"
"57","248","104","zainteresowany","2017-07-30 05:00:58.0"
"68","251","57","niezainteresowany","2017-07-19 07:54:31.0"
"54","252","293","nie_ma_w_domu","2017-08-02 04:43:02.0"
"20","268","351","nie_ma_w_domu","2017-09-05 09:41:40.0"
"3","277","119","zainteresowany","2017-09-22 09:06:16.0"
"34","279","333","niezainteresowany","2017-08-22 06:00:41.0"
"70","280","102","nie_ma_w_domu","2017-07-17 08:58:39.0"
"78","282","173","nie_ma_w_domu","2017-07-09 08:31:48.0"
"38","288","361","niezainteresowany","2017-08-18 06:41:04.0"
"50","294","139","nie_ma_w_domu","2017-08-06 10:00:53.0"
"80","300","331","niezainteresowany","2017-07-07 06:35:33.0"
"43","305","283","zainteresowany","2017-08-13 06:56:12.0"
"52","309","391","niezainteresowany","2017-08-04 06:13:52.0"
"23","311","337","zainteresowany","2017-09-02 11:26:49.0"
"19","315","242","zainteresowany","2017-09-06 07:13:40.0"
"11","334","373","zainteresowany","2017-09-14 06:27:40.0"
"83","340","239","poczta_glosowa","2017-07-04 09:22:02.0"
"63","341","358","poczta_glosowa","2017-07-24 04:36:13.0"
"7","346","255","zainteresowany","2017-09-18 04:30:35.0"
"10","352","324","niezainteresowany","2017-09-15 10:18:40.0"
"49","354","328","zainteresowany","2017-08-07 05:06:51.0"
"39","357","336","zainteresowany","2017-08-17 06:51:04.0"
"37","361","23","poczta_glosowa","2017-08-19 04:50:58.0"
"32","363","139","nie_ma_w_domu","2017-08-24 08:03:15.0"
"14","366","78","niezainteresowany","2017-09-11 06:31:22.0"
"66","372","250","nie_ma_w_domu","2017-07-21 06:45:50.0"
"28","376","118","nie_ma_w_domu","2017-08-28 11:36:10.0"
"44","382","189","nie_ma_w_domu","2017-08-12 09:43:54.0"
"27","383","358","zainteresowany","2017-08-29 11:05:23.0"
"22","394","261","niezainteresowany","2017-09-03 05:03:52.0"
"30","398","74","niezainteresowany","2017-08-26 06:31:07.0"
"24","399","207","nie_ma_w_domu","2017-09-01 11:18:45.0"
